temperature_C	humidity	noiselevel_dB	illuminance_lux	regiao
21,53125	69,189453125	48,7438029104	239,52	mesaTV
21,5625	69,287109375	48,7438029104	239,84	mesaTV
21,5625	69,6716308594	49,6317604559	240,48	mesaTV
21,5625	69,7692871094	49,445984592	240,8	mesaTV
21,59375	69,7692871094	51,0500597044	240,16	mesaTV
21,59375	69,8669433594	52,2925916279	240,8	mesaTV
21,59375	69,8669433594	51,7810995431	241,12	mesaTV
21,59375	69,9584960938	69,6883337184	240,48	mesaTV
21,59375	69,9951171875	54,415622157	240,16	mesaTV
21,59375	69,9584960938	55,7743088332	240,48	mesaTV
21,59375	70,0561523438	59,5489548026	240,8	mesaTV
21,625	70,0927734375	52,8889276898	240,16	mesaTV
21,625	70,0927734375	57,9023654512	240,16	mesaTV
21,625	70,0927734375	43,5272925691	241,12	mesaTV
21,625	70,0927734375	60,2252814272	240,16	mesaTV
21,625	70,0927734375	57,0901813157	240,16	mesaTV
21,65625	70,1904296875	44,6929446978	240,48	mesaTV
21,65625	70,1904296875	58,7690756769	240,16	mesaTV
21,65625	70,1904296875	54,7687906997	240,48	mesaTV
21,65625	70,1904296875	58,9239924983	240,16	mesaTV
21,65625	70,1904296875	57,2756760841	239,84	mesaTV
21,65625	70,1904296875	55,156332228	240,8	mesaTV
21,6875	70,1904296875	70,9046034452	240,8	mesaTV
21,6875	70,1904296875	68,8477666713	240,48	mesaTV
21,6875	70,1904296875	51,9611973954	241,12	mesaTV
21,6875	70,1904296875	68,3656136053	240,8	mesaTV
21,6875	70,1904296875	68,3548220515	240,8	mesaTV
21,71875	70,1904296875	54,6796315897	241,44	mesaTV
21,71875	70,2819824219	56,6063613782	241,12	mesaTV
21,71875	70,2819824219	55,0634402845	241,44	mesaTV
21,71875	70,2819824219	67,1864207988	241,44	mesaTV
21,71875	70,2819824219	63,4266391281	241,44	mesaTV
21,71875	70,2819824219	58,7324037143	241,12	mesaTV
21,71875	70,2819824219	56,7491193766	241,76	mesaTV
21,75	70,2819824219	57,8150836684	241,12	mesaTV
21,75	70,2819824219	49,2423547129	241,12	mesaTV
21,75	70,2819824219	60,9654614207	240,8	mesaTV
21,75	70,2819824219	59,7902117355	241,12	mesaTV
21,75	70,2819824219	48,8371453946	241,12	mesaTV
21,78125	70,2819824219	57,5133759938	240,8	mesaTV
21,78125	70,2819824219	59,187804908	241,12	mesaTV
21,78125	70,2819824219	59,8423447499	241,44	mesaTV
21,78125	70,2819824219	62,96868797	241,44	mesaTV
21,78125	70,2819824219	64,4246974346	241,76	mesaTV
21,78125	70,2819824219	64,4296713024	241,76	mesaTV
21,8125	70,2819824219	65,2242697798	241,76	mesaTV
21,8125	70,2819824219	63,0468326475	241,44	mesaTV
21,8125	70,2819824219	64,2842666653	240,8	mesaTV
21,8125	70,2819824219	65,4468779785	241,44	mesaTV
21,8125	70,2819824219	57,8547077209	240,8	mesaTV
21,8125	70,1904296875	54,7956029619	240,48	mesaTV
21,8125	70,2819824219	46,9059994304	241,44	mesaTV
21,8125	70,2819824219	52,8763448173	240,8	mesaTV
21,84375	70,2819824219	72,7469826339	240,8	mesaTV
21,84375	70,2819824219	44,9281035034	241,12	mesaTV
21,84375	70,1904296875	50,456222376	241,12	mesaTV
21,84375	70,2819824219	55,9082368689	241,44	mesaTV
21,84375	70,2819824219	44,4096051501	241,12	mesaTV
21,84375	70,2819824219	58,3404277273	240,8	mesaTV
21,84375	70,2819824219	48,8720950214	241,76	mesaTV
21,875	70,2819824219	50,0469897981	241,12	mesaTV
21,875	70,2819824219	45,7995881124	240,8	mesaTV
21,875	70,2819824219	44,6142139987	241,12	mesaTV
21,875	70,2819824219	45,1277894334	241,12	mesaTV
21,875	70,2819824219	44,7208648487	240,8	mesaTV
21,875	70,2819824219	44,8311371382	241,12	mesaTV
21,90625	70,2819824219	46,9469887365	240,8	mesaTV
21,90625	70,2819824219	45,2838885374	241,44	mesaTV
21,90625	70,2819824219	45,0672612889	241,12	mesaTV
21,90625	70,2819824219	45,1573394331	241,76	mesaTV
21,90625	70,2819824219	47,5510402918	241,12	mesaTV
21,90625	70,2819824219	50,5569409655	240,8	mesaTV
21,90625	70,2819824219	44,8783098913	241,44	mesaTV
21,90625	70,3796386719	47,8912971303	240,8	mesaTV
21,9375	70,3796386719	49,8348578282	241,44	mesaTV
21,9375	70,3796386719	46,2906512544	241,12	mesaTV
21,9375	70,3796386719	45,9257005605	241,44	mesaTV
21,9375	70,3796386719	46,9092369112	241,12	mesaTV
21,9375	70,3796386719	45,6958621333	241,12	mesaTV
21,9375	70,3796386719	54,6954114779	241,44	mesaTV
21,9375	70,3796386719	48,8412740303	240,8	mesaTV
21,9375	70,3796386719	45,5984471464	241,12	mesaTV
21,96875	70,3796386719	45,4645231358	241,44	mesaTV
21,96875	70,3796386719	46,5720441379	240,8	mesaTV
21,96875	70,3796386719	54,7145445659	241,12	mesaTV
21,96875	70,3796386719	60,6128600302	240,8	mesaTV
21,96875	70,3796386719	59,685492775	241,44	mesaTV
21,96875	70,3796386719	54,1804493012	240,8	mesaTV
21,96875	70,3796386719	49,4771750007	240,8	mesaTV
21,96875	70,3796386719	56,7043996131	241,12	mesaTV
22	70,3796386719	55,2878561208	240,48	mesaTV
22	70,3796386719	44,860754388	240,8	mesaTV
22	70,3796386719	47,2312674454	241,44	mesaTV
22	70,3796386719	46,1640688648	240,8	mesaTV
22	70,3796386719	52,5291283679	241,12	mesaTV
22	70,4772949219	53,7430909889	241,12	mesaTV
22	70,5139160156	50,6921894017	240,8	mesaTV
22	70,4772949219	51,1802112811	241,12	mesaTV
22	70,4772949219	49,3089503054	240,8	mesaTV
22	70,4772949219	44,0815455808	240,48	mesaTV
22,03125	70,4772949219	47,032001226	240,8	mesaTV
22,03125	70,4772949219	49,058335093	240,16	mesaTV
22,03125	70,5139160156	64,3324853309	240,48	mesaTV
22,03125	70,5139160156	59,8394199084	241,76	mesaTV
22,03125	70,5139160156	46,8106939248	240,48	mesaTV
22,03125	70,5139160156	58,5174963749	241,12	mesaTV
22,03125	70,5139160156	55,7354881178	240,48	mesaTV
22,03125	70,5139160156	56,7399641525	240,48	mesaTV
22,03125	70,5139160156	52,4364764095	240,8	mesaTV
22,0625	70,5139160156	65,82839704	240,48	mesaTV
22,0625	70,5139160156	71,0995776501	240,48	mesaTV
22,0625	70,5139160156	71,3257812539	240,48	mesaTV
22,0625	70,5139160156	50,9254811624	240,48	mesaTV
22,0625	70,5139160156	48,4650179473	240,8	mesaTV
22,0625	70,5139160156	61,7100471458	240,48	mesaTV
22,0625	70,5139160156	67,8704174643	240,8	mesaTV
22,0625	70,5139160156	67,5144915501	240,48	mesaTV
22,0625	70,5139160156	60,1669799363	240,48	mesaTV
22,0625	70,5139160156	55,0117990263	240,16	mesaTV
22,0625	70,5139160156	49,8676157085	240,16	mesaTV
22,09375	70,5139160156	49,590437366	240,8	mesaTV
22,09375	70,5139160156	52,4854018043	240,48	mesaTV
22,09375	70,5139160156	49,1821219198	240,8	mesaTV
22,09375	70,6115722656	50,4754217305	241,12	mesaTV
22,09375	70,5139160156	48,8347579149	240,16	mesaTV
22,09375	70,5139160156	46,7316960422	241,12	mesaTV
22,09375	70,6115722656	45,8211865108	240,8	mesaTV
22,09375	70,5139160156	48,8745212739	240,16	mesaTV
22,09375	70,6115722656	48,6102871124	240,48	mesaTV
22,09375	70,5139160156	47,544293617	240,8	mesaTV
22,09375	70,5139160156	48,0657737244	241,76	mesaTV
22,09375	70,6115722656	47,9543306701	240,8	mesaTV
22,09375	70,6115722656	51,3785595797	241,76	mesaTV
22,125	70,6115722656	55,3336380669	242,4	mesaTV
22,125	70,6115722656	59,4575093391	241,44	mesaTV
22,125	70,6115722656	56,2773423845	242,4	mesaTV
22,125	70,6115722656	50,8648538285	241,44	mesaTV
22,125	70,6115722656	49,1613711605	241,76	mesaTV
22,125	70,6115722656	49,3619212444	242,4	mesaTV
22,125	70,6115722656	48,0087280803	241,76	mesaTV
22,125	70,6115722656	49,4919927956	241,76	mesaTV
